Total population,White alone,Black alone,American Indian alone,Asian alone,Hawaiian alone,Hispanic,Other alone,Two or more,Census Tract,Poverty
6078,681,1046,0,341,17,3520,0,473,6013310000,1784
4310,836,1344,0,393,120,1472,0,145,6013313102,711
5494,2718,168,0,1599,35,784,28,162,6013321200,762
5655,2939,25,24,733,0,1476,27,431,6013330000,915
5560,691,438,8,784,165,3335,0,139,6013336101,1234
8407,4362,290,0,1078,0,2210,22,445,6013337200,1330
5940,4283,189,0,505,0,680,13,270,6013337300,175
7304,1818,1057,0,2839,0,1376,5,209,6013359203,283
2814,1216,365,0,569,0,539,10,115,6013370000,301
3666,1262,252,17,1402,42,471,0,220,6013386000,728
2196,803,176,5,629,94,362,0,127,6013389100,186
1868,380,117,46,882,17,385,0,41,6013389200,347
6106,1835,1294,47,109,0,2667,0,154,6013305000,1781
2352,226,757,24,157,0,1099,0,89,6013312000,772
7276,1666,1830,18,795,22,2690,0,255,6013307205,2661
9047,1332,1123,88,536,0,5432,0,536,6013314104,349
3762,1537,324,105,576,48,1035,38,99,6013315000,618
3843,1792,99,0,192,26,1543,18,173,6013320001,2002
7534,3082,1127,25,285,15,2472,0,528,6013308001,2204
7323,765,180,0,410,64,5796,21,87,6013314200,2087
4893,3575,181,0,322,0,400,0,415,6067008008,511
5007,3788,16,0,189,0,895,0,119,6067008010,706
7814,1540,1399,10,946,100,3355,0,464,6067007004,1677
5722,1170,705,13,263,245,3192,0,134,6067007007,1760
5394,3958,34,150,174,39,758,0,281,6067008402,685
3484,2734,85,9,190,0,239,0,227,6067008122,391
4427,3010,85,38,409,23,630,0,232,6081603000,476
3300,2282,9,0,642,0,124,0,243,6081609601,128
4673,3348,82,0,434,0,629,62,118,6081609800,258
5013,1170,177,0,537,0,3026,0,103,6081610800,697
7100,2126,60,77,586,0,4105,0,146,6081610900,1806
4369,120,747,0,97,648,2677,16,64,6081611800,834
4692,3415,6,0,907,2,152,48,162,6081612600,236
6868,5509,14,2,483,0,447,91,322,6081613200,199
3137,2615,0,0,169,0,261,0,92,6081613400,272
9041,5929,0,0,608,144,2227,0,133,6081613700,894
3715,1242,198,0,1809,0,318,16,132,6081608300,132
3636,2722,0,0,325,0,391,0,198,6081609300,173
2245,1865,2,0,169,0,129,0,80,6081612700,175
4770,3403,120,0,787,0,267,0,193,6081612900,281
3026,2360,11,0,279,0,253,21,102,6081613300,228
6491,4329,15,8,123,0,1582,56,378,6081613600,316
7153,4159,112,0,1686,8,678,15,495,6081608700,441
5432,3874,31,0,709,0,446,150,222,6081609603,291
10333,1067,1380,11,742,892,5820,0,421,6081611900,1241
3606,2862,5,0,312,0,250,2,175,6081612800,150
7169,1880,69,0,3008,66,1895,0,251,6081601800,904
7410,981,709,0,3804,0,1546,37,333,6081600800,1682
7126,1290,34,0,3355,0,2310,0,137,6081601200,438
8195,985,134,24,5957,89,623,37,346,6081602600,141
3482,2072,95,0,340,0,704,21,250,6081603100,284
3886,1568,40,10,1629,5,365,0,269,6081604500,167
5284,2122,206,33,634,89,1947,0,253,6081606000,622
2520,1525,0,0,677,0,150,5,163,6081606700,99
3533,1981,45,131,843,0,237,40,256,6081607000,185
3160,1929,26,0,806,0,153,0,246,6081607100,174
5373,1806,206,0,1714,82,1285,34,246,6081607500,443
6570,677,111,16,4740,159,570,0,297,6001441501,316
2079,1515,134,0,199,7,175,11,38,6001404700,738
7748,1430,375,72,3379,138,1904,13,437,6001442500,331
5301,2597,96,5,1077,0,1315,0,211,6001450300,915
5971,2832,324,0,1726,0,804,119,166,6001450607,64
3973,2383,394,50,442,78,337,0,289,6001404900,273
5188,1871,456,25,1564,21,991,0,260,6001405200,704
4425,573,1225,14,1161,0,1386,0,66,6001406300,1620
3115,2055,128,0,592,0,104,69,167,6001400100,121
3792,1677,1005,8,522,0,343,0,237,6001400800,763
6024,1906,2003,6,269,96,1092,46,606,6001401000,1488
3497,360,180,0,297,0,2629,4,27,6073013308,361
6520,1587,166,13,589,0,3943,0,222,6073013309,467
7911,2526,444,0,1152,0,3294,0,495,6073013410,849
6629,1162,193,0,946,19,3994,78,237,6073013418,802
3711,1539,355,8,536,0,1013,0,260,6073013504,609
5418,2632,436,0,194,31,1946,16,163,6073013601,991
4243,1233,456,0,665,0,1801,0,88,6073013903,626
4417,568,441,0,311,0,3090,0,7,6073013907,1009
5471,2646,926,0,576,78,1051,0,194,6073014602,814
5074,2498,152,0,563,23,1696,0,142,6073014803,788
6405,2164,250,0,242,18,3057,0,674,6073015701,2659
3491,2329,118,32,107,25,605,0,275,6073016617,415
3100,2361,13,19,83,0,522,0,102,6073016810,379
4826,3041,180,0,354,3,1166,0,82,6073016811,797
2475,2107,34,0,148,0,170,7,9,6073017014,242
6402,4950,157,0,453,0,684,57,101,6073017019,481
15878,7711,204,0,5472,0,1630,0,861,6073017032,581
5776,2862,219,0,1334,57,1064,0,240,6073017037,787
4786,3911,0,0,123,0,661,0,91,6073017106,546
5515,4930,10,34,191,0,284,0,66,6073017601,284
3250,2492,0,0,142,0,516,0,100,6073000100,98
3446,2022,252,8,161,33,791,7,172,6073000600,517
3510,284,44,0,977,2,2122,4,77,6073012003,539
6351,339,110,0,508,258,5136,0,0,6073013203,2436
3938,301,15,0,204,0,3418,0,0,6073013204,1197
5453,1507,201,0,342,173,3129,10,91,6073013301,797
5199,807,179,4,168,62,3903,0,76,6073013303,1124
4982,578,34,0,367,0,4002,0,1,6073013307,1316
4280,1460,24,0,251,0,2520,0,25,6073013401,249
1482,385,90,0,193,0,757,0,57,6073013415,28
6365,2328,884,0,252,276,2388,0,237,6073013503,1142
4392,1617,457,2,250,54,1799,0,213,6073013506,949
5811,1941,840,0,181,47,2492,0,310,6073013702,1177
7717,5190,530,0,921,74,864,32,106,6073005400,642
4672,1454,498,0,378,20,2043,0,279,6073014002,565
3502,1360,159,0,74,0,1800,0,109,6073014101,881
4210,2721,207,0,187,0,1044,0,51,6073014804,774
1612,1001,135,0,125,4,272,13,62,6073005700,658
3541,2483,70,0,232,0,677,0,79,6073005800,359
2861,2049,279,16,101,0,225,0,191,6073006801,490
9606,4969,454,21,1597,0,2173,14,378,6073018611,1388
2874,1846,49,0,102,30,740,28,79,6073019203,261
3749,402,64,0,112,0,3162,0,9,6073019501,1125
4433,3308,0,10,373,0,690,0,52,6073019804,307
4043,1967,140,7,273,0,1563,0,93,6073019805,1103
2615,496,108,0,46,0,1965,0,0,6037123205,701
5018,53,1213,0,0,9,3733,0,10,6037238310,2824
3697,6,886,0,0,0,2786,0,19,6037240010,1585
6325,67,1823,0,18,0,4417,0,0,6037240600,3035
6367,18,1853,30,67,0,4399,0,0,6037240700,1447
2778,7,494,0,18,59,2200,0,0,6037242100,2335
2513,668,74,133,449,0,1042,14,133,6037603703,137
6063,3386,294,58,642,15,1217,0,451,6037620501,209
5030,2345,167,0,837,0,1309,56,316,6037620601,454
7735,4786,0,0,1660,0,785,0,504,6037620800,428
4457,3220,25,69,287,0,571,42,243,6037621001,122
