Project_ID,Census_Tract_ID
G18-CVRP-01,6059042307
G18-CVRP-01,6059042310
G18-CVRP-01,6059042311
G18-CVRP-01,6059042312
G18-CVRP-01,6059042323
G18-CVRP-01,6059042324
G16-CVRP-01,6013339002
G16-CVRP-01,6075015200
G16-CVRP-01,6059032040
G15-LCTI-01,6073017019
G16-CVRP-01,6037670328
G15-LCTI-01,6037297201
G16-CVRP-01,6081607400
G16-CVRP-01,6073017030
G16-CVRP-01,6059032050
G16-CVRP-01,6059063603
G15-LCTI-01,6061021128
G16-CVRP-01,6059001801
G15-LCTI-01,6071001806
G16-LCTI-03,6077005133
G16-LCTI-03,6077005202
G16-LCTI-03,6077005125
G16-LCTI-03,6077005132
G16-LCTI-03,6077005209
G16-LCTI-03,6077005210
G16-LCTI-03,6077005206
G16-LCTI-03,6077005207
G16-LCTI-03,6077005122
G16-LCTI-03,6077005123
G14-AQIP-01,6055200703
G17-CVRP-01,6071001400
G17-CVRP-01,6071001312
G17-CVRP-01,6071001703
G17-CVRP-01,6071001702
G17-CVRP-01,6071001707
G17-CVRP-01,6071001704
G17-CVRP-01,6071001804
G17-CVRP-01,6071001803
G17-CVRP-01,6071001809
G17-CVRP-01,6071001808
G15-LCTI-01,6085509401
G14-AQIP-01,6059032032
G16-CVRP-01,6037141600
G15-LCTI-01,6031000601
G14-AQIP-01,6059032033
G15-LCTI-01,6059075701
G16-CVRP-01,6111006900
G16-CVRP-01,6037575902
G15-LCTI-01,6037213100
G16-CVRP-01,6085504506
G16-CVRP-01,6059021810
G16-CVRP-01,6085504420
G16-CVRP-01,6085509303
G16-CVRP-01,6017031402
G16-CVRP-01,6037462201
G16-CVRP-01,6037650603
G16-CVRP-01,6037183401
G16-CVRP-01,6059042339
G16-CVRP-01,6087121600
G16-CVRP-01,6073008327
G16-CVRP-01,6037910807
G16-CVRP-01,6037920015
G16-CVRP-01,6037269907
G16-CVRP-01,6037603702
G15-LCTI-01,6037134904
G16-CVRP-01,6037207302
G16-CVRP-01,6085504202
G16-CVRP-01,6013334200
G15-LCTI-01,6085503214
G15-LCTI-01,6071008708
G14-AQIP-01,6059032030
G17-HVIP-01 Amendment 1,6087122003
G16-CVRP-01,6073008346
16-1-03,6047002302
G15-LCTI-05,6111001507
G14-AQIP-01,6059032031
G15-LCTI-05,6111001507
G17-HVIP-01 Amendment 1,6087122003
G15-LCTI-05,6111001507
G15-LCTI-01,6071008403
G17-CVRP-01,6037400205
G17-CVRP-01,6037270100
G17-CVRP-01,6037481103
G17-CVRP-01,6001442100
G17-CVRP-01,6059032040
G17-CVRP-01,6087100800
G17-CVRP-01,6073017029
G17-CVRP-01,6075061100
G17-CVRP-01,6031000403
G17-CVRP-01,6001400100
4600011139,6019004302
4600011139,6019004301
4600011139,6019004404
4600011139,6019004303
4600011139,6019004406
4600011139,6019004405
4600011139,6019004409
4600011139,6019004408
4600011139,6019004504
4600011139,6019004503
G15-LCTI-01,6071008703
G17-CVRP-01,6013376000
G17-CVRP-01,6073009305
G15-LCTI-01,6061020901
G17-CVRP-01,6059088904
G17-CVRP-01,6073017029
G17-CVRP-01,6037408703
G17-CVRP-01,6037433602
G17-CVRP-01,6073007200
G17-CVRP-01,6065043802
G17-CVRP-01,6073020601
G17-CVRP-01,6001432200
G15-LCTI-01,6061020805
G15-LCTI-01,6061020717
G15-LCTI-01,6061020713
G17-CVRP-01,6065030400
G14-LCTI-02,6059021923
