Tract,Disadvantaged Communities,Low-Income Communities,County name
6019001303,Yes,Yes,Los Angeles
6019001304,Yes,Yes,Los Angeles
6019001407,Yes,Yes,Sacramento 
6019001408,Yes,Yes,Los Angeles
6019001409,No,No,Los Angeles
6019001410,Yes,No,Los Angeles
6019001411,Yes,Yes,Los Angeles
6019001412,No,No,San Bernardino
6019001413,Yes,No,Orange 
6019001414,No,No,Fresno 
6019001500,Yes,Yes,Los Angeles
6019001600,Yes,Yes,Merced 
6019001700,Yes,No,San Bernardino
6019001800,Yes,No,Los Angeles
6019001900,Yes,No,Los Angeles
6019002000,Yes,Yes,Los Angeles
6019002100,Yes,Yes,Los Angeles
6019002200,Yes,Yes,Riverside 
6019002300,Yes,Yes,Sacramento 
6019002400,Yes,Yes,Los Angeles
6019002501,Yes,Yes,Riverside 
6019002502,Yes,Yes,Los Angeles
6019002601,Yes,Yes,Los Angeles
6019002602,Yes,Yes,Sacramento 
6019002701,Yes,Yes,Los Angeles
6019002702,Yes,Yes,Los Angeles
6019002800,Yes,Yes,Los Angeles
6019002903,Yes,Yes,Los Angeles
6019002904,Yes,Yes,Los Angeles
6019002905,Yes,Yes,Los Angeles
6019002906,Yes,Yes,Imperial 
6019003001,Yes,Yes,Los Angeles
6019003003,Yes,Yes,Los Angeles
6019003004,Yes,No,Los Angeles
6019003102,Yes,Yes,Los Angeles
6019003103,No,Yes,San Bernardino
6019003104,No,Yes,Los Angeles
6019003201,Yes,Yes,Los Angeles
6019003202,Yes,Yes,Los Angeles
6019003301,Yes,Yes,Los Angeles
6019003302,Yes,Yes,Los Angeles
6019003400,Yes,Yes,Fresno 
6019003500,Yes,Yes,Los Angeles
6019003600,No,No,Riverside 
6019003701,Yes,Yes,Los Angeles
6019003702,Yes,Yes,Los Angeles
6019003803,Yes,No,Fresno 
6019003804,Yes,No,Sacramento 
6019003805,Yes,Yes,San Francisco
6019003807,Yes,Yes,Los Angeles
6019003808,Yes,No,Los Angeles
6019003809,Yes,Yes,Los Angeles
6019003810,No,No,Los Angeles
6019003900,Yes,Yes,Los Angeles
6019004001,Yes,Yes,Los Angeles
6019004002,Yes,Yes,Los Angeles
6019004100,No,Yes,Los Angeles
6019004205,Yes,Yes,Los Angeles
6019004207,Yes,No,Alameda 
6019004208,No,No,San Bernardino
6019004210,No,No,Fresno 
6019004211,No,No,San Diego
6019004212,Yes,Yes,Los Angeles
6019004213,No,No,San Bernardino
6019004214,No,No,Los Angeles
6019004215,No,No,Los Angeles
6019004216,Yes,No,Fresno 
6019004301,No,No,San Bernardino
6019004302,No,No,Los Angeles
6019004303,No,No,Fresno 
6019004404,Yes,Yes,Los Angeles
6019004405,No,No,Los Angeles
6019004406,No,Yes,San Bernardino
6019004408,No,No,Riverside 
6019004409,No,No,San Bernardino
6019004503,No,No,Los Angeles
6019004504,Yes,Yes,Yolo 
6019004505,Yes,Yes,Riverside 
6019004506,No,No,Los Angeles
6019004601,No,No,Tulare 
6019004602,No,No,Merced 
6019004701,Yes,Yes,Los Angeles
6019004703,Yes,Yes,Los Angeles
6019004704,Yes,Yes,San Bernardino
6019004801,No,Yes,Los Angeles
6019004802,Yes,Yes,Los Angeles
6019004901,No,Yes,Los Angeles
6019004902,No,Yes,Los Angeles
6019005000,Yes,Yes,San Joaquin
6019005100,Yes,Yes,Los Angeles
6019005202,Yes,Yes,Riverside 
6019005203,Yes,Yes,Sacramento 
6019005204,Yes,Yes,Stanislaus 
6019005301,Yes,Yes,Fresno 
6019005302,No,Yes,San Bernardino
6019005304,No,Yes,Los Angeles
6019005305,Yes,Yes,Los Angeles
6019005403,Yes,Yes,Tulare 
6019005405,No,No,Los Angeles
6019005406,No,No,Los Angeles
6019005407,No,No,Los Angeles
6019005408,Yes,Yes,Sacramento 
6019005409,Yes,Yes,San Francisco
6019005410,Yes,No,Kern 
6019005503,No,No,Los Angeles
